Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S281769934,Chiloe Wigeon,Mareca sibilatrix,524,1,CL-AI,Cochrane,L12559921,"PN Patagonia--Humedal km 3,3",-47.1115351,-72.5730196,2025-10-25,09:00 AM,eBird - Traveling Count,20,1,11.27,,2
S281770330,Chiloe Wigeon,Mareca sibilatrix,524,2,CL-AI,Cochrane,L10956293,PN Patagonia--Sendero Lagunas Altas,-47.129021,-72.5076329,2025-10-26,04:10 PM,eBird - Traveling Count,400,1,20.92,,2
S281769271,Chiloe Wigeon,Mareca sibilatrix,524,2,CL-AI,Coyhaique,L12894129,Río Coyhaique--Lagunas Humedal Coyhaique Alto,-45.4934362,-71.6302322,2025-10-23,02:57 PM,eBird - Traveling Count,30,1,16.09,,2
S278079391,Chiloe Wigeon,Mareca sibilatrix,524,1,CL-CO,La Serena,L3122565,Parque Jardín del Corazón (Kokoro No Niwa),-29.9037627,-71.2556934,2025-10-08,04:43 PM,eBird - Stationary Count,40,1,,,2
S281769123,Chiloe Wigeon,Mareca sibilatrix,524,2,CL-LL,Quellón,L11075915,Candelaria,-43.0682351,-73.5499843,2025-10-20,03:56 PM,eBird - Traveling Count,20,1,1.61,,2
S281769073,Chiloe Wigeon,Mareca sibilatrix,524,3,CL-LL,Quellón,L774619,Oqueldad,-43.1010455,-73.5431671,2025-10-19,12:34 PM,eBird - Stationary Count,20,1,,,2
S281768881,Chiloe Wigeon,Mareca sibilatrix,524,2,CL-LL,Quemchi,L774640,Aucar,-42.164485,-73.4812617,2025-10-18,12:34 PM,eBird - Traveling Count,50,1,1.61,,2
S205145836,Indian Spot-billed Duck,Anas poecilorhyncha,540,2,KH-10,,L1437433,Kratie--rice fields and marshes,12.5070941,106.0252267,2024-12-12,03:15 PM,eBird - Traveling Count,120,1,4.828,,2
S253314723,Eastern Spot-billed Duck,Anas zonorhyncha,543,1,JP-20,Azumino,L4142499,安曇野市--犀川白鳥湖 (Azumino--Saigawa Swan Lake),36.3138414,137.9270035,2025-05-27,04:00 PM,eBird - Traveling Count,30,1,1.45,,2
S241812769,Eastern Spot-billed Duck,Anas zonorhyncha,543,1,JP-20,Nagano,L2903436,長野市--戸隠森林植物園 (Nagano--Togakushi Forest Park),36.7566386,138.0716966,2025-05-24,08:08 AM,eBird - Traveling Count,180,1,6.437,,2
